""	
Dwell Time	
15x	3
Knucklas	
""	
Dwell Time	
15x	*
* Request Stop	
Llangyllo	
""	
Dwell Time	
15x	*
* Request Stop	
Llanbister Road	
""	
Dwell Time	
15x	*
* Request Stop	
Dolau	
""	
Dwell Time	
15x	*
* Request Stop	
‘All Up’ services must stop in platform to operate the level crossing 1⁄2 minute.	
Pen-y-bont	
""	
Dwell Time	
15x	*
* Request Stop	
Llandrindod		
""		
Dwell Time		
15x	3	
""		
Junction Margin		
First Movement	Second Movement	Margin
Arrival from the South/North	Departure to the North/South	8
Builth Road	
""	
Dwell Time	
15x	*
* Request Stop	
Cilmeri	
""	
Dwell Time	
15x	*
* Request Stop	
