|                                            |                                                                                              |                           |    |
|:-------------------------------------------|:---------------------------------------------------------------------------------------------|:--------------------------|:---|
| Hastings                                   |                                                                                              |                           |    |
| Arrive Platform 1 from Ore                 | Arrive Platform 2 from St Leonards                                                           | Overlap on                | 2  |
|                                            | Warrior Square or Bo Peep Junction                                                           | EDL46                     |    |
|                                            |                                                                                              | points                    |    |
| Arrive Platform 2 from St Leonards Warrior | Depart Platform 1                                                                            | Overlap on                | 2  |
| Square or Bo Peep Junction                 |                                                                                              | EDL46                     |    |
|                                            |                                                                                              | points                    |    |
| Arrive Platform 2 from St Leonards Warrior | Arrive Platform 1 from Ore                                                                   | Overlap on                | 2  |
| Square or Bo Peep Junction                 |                                                                                              | EDL46                     |    |
|                                            |                                                                                              | points                    |    |
| Arrive Platform 2 from St Leonards Warrior | Depart Park Sidings into Platform 1                                                          | Overlap on                | 3  |
| Square or Bo Peep Junction                 |                                                                                              | EDL46                     |    |
|                                            |                                                                                              | points                    |    |
| Arrive Platform 3 from St Leonards Warrior | Depart Platform 4 Eastbound                                                                  | Overlap on                | 2  |
| Square or Bo Peep Junction                 |                                                                                              | EDL42                     |    |
|                                            |                                                                                              | points                    |    |
| Depart Platform 4 to Ore                   | Arrive Platform 3 from St Leonards                                                           | Overlap on                | 2  |
|                                            | Warrior Square or Bo Peep Junction                                                           | EDL42                     |    |
|                                            |                                                                                              | points                    |    |
| Arrive Platform 4 from EDL70/Park Sidings  | Arrive Platform 3 from St Leonards                                                           | Overlap on                | 2  |
|                                            | Warrior Square or Bo Peep Junction                                                           | EDL42                     |    |
|                                            |                                                                                              | points                    |    |
| Depart Platform 4 to Park Sidings          | Arrive Platform 3 from St Leonards                                                           | Overlap on                | 3  |
|                                            | Warrior Square or Bo Peep Junction                                                           | EDL42                     |    |
|                                            |                                                                                              | points                    |    |
|                                            | Planning Note                                                                                |                           |    |
|                                            | Please note a change of line designation here when planning trains to/from the Ore direction |                           |    |
|                                            | Trains cannot be left unattended or berthed in Platform 2 or 3                               |                           |    |
|                                            | Rye                                                                                          |                           |    |
|                                            | Dwell Time                                                                                   |                           |    |
|                                            | All services                                                                                 | Minimum 1⁄2 minute        |    |
|                                            | Turnround allowances                                                                         | Class 171 (2 / 3 / 4 Car) |    |
