|                   |                         |        |                |
|:------------------|:------------------------|:-------|:---------------|
| STATION           | PLATFORM AND LINE       | USABLE | NOTES          |
|                   |                         | LENGTH |                |
| Three Bridges     | 3 - Down Slow           | 246    | Up direction   |
| Three Bridges     | 4 - Up Fast             | 246    |                |
| Three Bridges     | 5 - Down Fast           | 246    |                |
| Three Oaks        | - Single                | 31     | Down direction |
| Three Oaks        | - Single                | 31     | Up direction   |
| Tooting           | 1 - Up St Helier        | 164    |                |
| Tooting           | 2 - Down St Helier      | 157    |                |
| Tulse Hill        | 1 - Up Passenger Loop   | 163    |                |
| Tulse Hill        | 2 - Down Passenger Loop | 164    |                |
| Tulse Hill        | 3 - Up Portsmouth       | 164    |                |
| Tulse Hill        | 4 - Down Portsmouth     | 161    |                |
| Uckfield          | Uckfield Single         | 251    |                |
| Upper Warlingham  | 1 - Up East Grinstead   | 242    | 12 Cars        |
| Upper Warlingham  | 2 - Down East Grinstead | 242    | 12 Cars        |
| Waddon            | 1 - Up Wallington       | 201    |                |
| Waddon            | 2 - Down Wallington     | 201    |                |
| Wallington        | 1 - Up Wallington       | 202    |                |
| Wallington        | 2 - Down Wallington     | 201    |                |
| Wandsworth Common | 1 - Down Slow           | 201    |                |
| Wandsworth Common | 2 - Up Slow             | 201    |                |
| Wandsworth Common | 3 - Down Fast           | 181    |                |
| Wandsworth Common | 4 - Up Fast             | 155    |                |
| Wapping           | 1 – Up                  | 80     |                |
| Wapping           | 2 – Down                | 80     |                |
| Warblington       | 1 - Up                  | 122    |                |
| Warblington       | 2 - Down                | 122    |                |
| Warnham           | 1 - Up                  | 125    |                |
| Warnham           | 2 - Down                | 125    |                |
| West Brompton     | 3 – Up West London      | 170.3  | Up direction   |
| West Brompton     | 3 – Up West London      | 170.3  | Down direction |
| West Brompton     | 4 – Down West London    | 152.8  | Down direction |
| West Brompton     | 4 – Down West London    | 152.8  | Up direction   |
| West Croydon      | 1 - Up Bay              | 194    |                |
| West Croydon      | 3 - Up Wallington       | 190    |                |
| West Croydon      | 4 - Down Wallington     | 215    |                |
| West Norwood      | 1 - Up Crystal Palace   | 145    |                |
| West Norwood      | 2 - Down Crystal Palace | 161    |                |
| West Sutton       | 1 - Up St Helier        | 157    |                |
| West Sutton       | 2 - Down St Helier      | 156    |                |
| West Worthing     | 1 - Up Brighton         | 158    |                |
| West Worthing     | 2 - Down Brighton       | 158    |                |
| Whitechapel       | 5 – Up                  | 81     |                |
| Whitechapel       | 6 – Down                | 81     |                |
| Whyteleafe        | 1 - Up                  | 141    |                |
| Whyteleafe        | 2 - Down                | 143    |                |
| Whyteleafe South  | 1 - Up                  | 120    |                |
| Whyteleafe South  | 2 - Down                | 105    |                |
| Wimbledon         | 9 - Up St Helier        | 160    | Down direction |
| Wimbledon         | 9 - Up St Helier        | 160    | Up direction   |
| Wimbledon         | 10 - Up Bay             | 85     |                |
| Wimbledon Chase   | 1 - Up St Helier        | 159    |                |
| Wimbledon Chase   | 2 - Down St Helier      | 158    |                |
