|                                                                      |    |
|:---------------------------------------------------------------------|:---|
| NW5019 GLOSSOP TO DINTING WEST JN                                    |    |
| Glossop                                                              |    |
| Minimum Turnround Time – Trains changing direction at end of journey |    |
| Class 319 and 323 EMUs                                               | 3  |
| Dinting                                                              |    |
| See entry under route NW5015 Hadfield to Ardwick Jn                  |    |
| NW5021 GUIDE BRIDGE WEST JN TO STALYBRIDGE                           |    |
| Stalybridge                                                          |    |
| See entry under route NW7021 – Miles Platting Jn to Marsden          |    |
| NW6001 MANCHESTER PICCADILLY EAST JN TO EUXTON JN                    |    |
