|                              |                                                    |
|:-----------------------------|:---------------------------------------------------|
| Hampstead Heath              |                                                    |
| Platform Reoccupation        | 21⁄2                                               |
| Finchley Road & Frognal      |                                                    |
| Platform Reoccupation        | 21⁄2                                               |
| West Hampstead               |                                                    |
| Dwell Time                   | 1                                                  |
| Platform Reoccupation        | 21⁄2                                               |
| Brondesbury                  |                                                    |
| Platform Reoccupation        | 21⁄2                                               |
| Brondesbury Park             |                                                    |
| Platform Reoccupation        | 21⁄2                                               |
| Kensal Rise                  |                                                    |
| Platform Reoccupation        | 21⁄2                                               |
| Kensal Green Turnback Siding |                                                    |
| Capacity of Siding           | 207 metres. This equates to 2x 5 car EMU or 32 SLU |
