|                                                                                                 |    |
|:------------------------------------------------------------------------------------------------|:---|
| Aintree                                                                                         |    |
| Minimum Turnround Time – Trains changing direction at end of journey                            |    |
| EMU shunting between arrival platform 2 and departure platform 1 for services from/to Liverpool | 7  |
| Central only                                                                                    |    |
| Maghull                                                                                         |    |
| Minimum Turnround Time – Trains changing direction at end of journey                            |    |
| EMU shunting between arrival platform 1 and departure platform 2 for services from/to Ormskirk  | 7  |
| only                                                                                            |    |
| Town Green                                                                                      |    |
| Minimum Turnround Time – Trains changing direction at end of journey                            |    |
| EMU shunting between arrival platform 1 and departure platform 2 for services from/to Ormskirk  | 7  |
| only                                                                                            |    |
| Ormskirk                                                                                        |    |
| Other Restrictions                                                                              |    |
| Permissive working applies to the platform which can be accessed from Sandhills Jn              |    |
| Platform/Single Line                                                                            | 4  |
| reoccupation                                                                                    |    |
| NW8009 WALTON JN TO HEADBOLT LANE                                                               |    |
| Walton Jn                                                                                       |    |
