|                                                      |                     |               |                                             |
|:-----------------------------------------------------|:--------------------|:--------------|:--------------------------------------------|
| SO250 FACTORY JUNCTION TO MITRE BRIDGE JUNCTION      |                     |               |                                             |
| LINE/LOCATION                                        | SECTION             | CRITICAL      | REMARKS                                     |
|                                                      |                     | TIMES SX      |                                             |
| Factory Junction                                     | Factory Junction    | 07.00 – 09.45 | From Longhedge Junction to                  |
|                                                      |                     | 16.00 – 19.00 | Atlantic/Chatham Lines                      |
| North Pole Junction                                  | North Pole Junction | ALL DAY       | No more than 13 paths per hour in each      |
|                                                      | to Latchmere        |               | direction                                   |
|                                                      | Junction (No 3)     |               | Stopping services are likely to absorb more |
|                                                      |                     |               | than one path                               |
| SO250A GROSVENOR BRIDGE JUNCTION TO FACTORY JUNCTION |                     |               |                                             |
| LINE/LOCATION                                        | SECTION             | CRITICAL      | REMARKS                                     |
|                                                      |                     | TIMES SX      |                                             |
| Factory Junction                                     | Factory Junction    | 07.00 – 09.45 | From Longhedge Junction to                  |
|                                                      |                     | 16.00 – 19.00 | Atlantic/Chatham Lines                      |
