|                                            |                                                 |    |
|:-------------------------------------------|:------------------------------------------------|:---|
| Larbert Junction                           |                                                 |    |
| Down train passes from Falkirk (Passenger) | Up train passes towards Greenhill Junction(not  | 3  |
|                                            | stopping Larbert)                               |    |
| Down train passes from Falkirk (Freight)   | Up train passes towards Greenhill Junction (not | 4  |
|                                            | stopping Larbert)                               |    |
| Down train passes from Falkirk             | Up train passes towards Greenhill Junction      | 2  |
|                                            | (stopping Larbert)                              |    |
| Larbert                                    |                                                 |    |
